X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
774;659;0.4033487;0.6108845;0.4033487;0.6108845;502.9;0.06803465;True;2/21/2026 12:02:02 PM:696;1771668122696;;
788;743;0.4104668;0.6885179;0.4514673;0.8492492;503.2;0.126522;True;2/21/2026 12:02:02 PM:763;1771668122763;;
784;833;0.4084619;0.7720671;0.3900012;0.9271553;504.7;0.1124321;True;2/21/2026 12:02:02 PM:839;1771668122839;;
841;851;0.4383034;0.7887679;0.5244664;0.8755492;506.1;0.1149095;True;2/21/2026 12:02:02 PM:890;1771668122890;;
848;856;0.4421414;0.7928625;0.470327;0.8331901;506.4;0.1188572;True;2/21/2026 12:02:02 PM:974;1771668122974;;
865;889;0.4506324;0.8231758;0.4954389;0.9296023;508.3;0.1193978;True;2/21/2026 12:02:03 PM:54;1771668123054;;
862;882;0.4490002;0.816739;0.4305423;0.7637774;508.1;0.1188723;True;2/21/2026 12:02:03 PM:98;1771668123098;;
861;856;0.4487524;0.7933707;0.4423861;0.6843536;507.5;0.1265765;True;2/21/2026 12:02:03 PM:142;1771668123142;;
861;833;0.4486229;0.7713205;0.4436816;0.6597624;506.8;0.1241724;True;2/21/2026 12:02:03 PM:185;1771668123185;;
801;809;0.4173415;0.7496666;0.3232192;0.6365054;507.6;0.1348666;True;2/21/2026 12:02:03 PM:229;1771668123229;;
639;797;0.3332174;0.73809;0.1398864;0.6230303;510.0;0.1334895;True;2/21/2026 12:02:03 PM:251;1771668123251;;
572;726;0.2983904;0.6729589;0.1663937;0.3859667;511.4;0.1425641;False;2/21/2026 12:02:03 PM:269;1771668123269;;
421;729;0.2197288;0.6754659;0.1072305;0.7248028;512.6;0.1428768;False;2/21/2026 12:02:03 PM:315;1771668123315;;
356;729;0.1854912;0.6755888;0.1025694;0.6928231;512.9;0.1599765;False;2/21/2026 12:02:03 PM:347;1771668123347;;
317;730;0.1652825;0.6759741;0.1042391;0.7085595;512.5;0.1564693;False;2/21/2026 12:02:03 PM:377;1771668123377;;
302;730;0.1576184;0.6762062;0.1261911;0.7062645;511.5;0.1540468;False;2/21/2026 12:02:03 PM:408;1771668123408;;
303;728;0.1582196;0.6743928;0.1626864;0.6463636;510.2;0.1640041;False;2/21/2026 12:02:03 PM:443;1771668123443;;
306;733;0.1597368;0.6794317;0.1811865;0.7513563;509.6;0.1598414;False;2/21/2026 12:02:03 PM:476;1771668123476;;
314;735;0.1637246;0.6810282;0.2352066;0.7288588;509.8;0.1553873;False;2/21/2026 12:02:03 PM:511;1771668123511;;
410;738;0.2139624;0.6835825;0.3717676;0.7437021;510.3;0.1624471;False;2/21/2026 12:02:03 PM:543;1771668123543;;
402;746;0.2097301;0.6911579;0.1781048;0.7818136;510.8;0.1545999;False;2/21/2026 12:02:03 PM:577;1771668123577;;
402;741;0.2095072;0.6868799;0.205126;0.6427125;509.1;0.1567855;False;2/21/2026 12:02:03 PM:610;1771668123610;;
401;743;0.2093439;0.6883147;0.2055184;0.7355278;509.4;0.1524801;False;2/21/2026 12:02:03 PM:645;1771668123645;;
401;751;0.2092103;0.6957862;0.2058542;0.7788562;508.8;0.1503658;False;2/21/2026 12:02:03 PM:686;1771668123686;;
399;749;0.2083192;0.6941099;0.182442;0.6528929;509.2;0.1580739;False;2/21/2026 12:02:03 PM:700;1771668123700;;
379;733;0.197433;0.6788316;0.1403842;0.5949271;509.5;0.1584027;False;2/21/2026 12:02:03 PM:743;1771668123743;;
